split,category_id,class_name,gt_count,pred_count,ap50
valid,0,bottom-0LAX,0,0,
valid,1,background,0,7,
valid,2,band,22,34,0.73982398239824
valid,3,beltloop,4,31,0.504950495049505
valid,4,button,0,20,
valid,5,cuffs,12,15,1.0
valid,6,decoration,2,25,0.0
valid,7,hem,25,62,0.905697466298354
valid,8,hook,1,17,0.9999999999999999
valid,9,lace,1,29,0.0
valid,10,logo,13,66,0.9043484180350808
valid,11,loop,0,13,
valid,12,placket,1,15,0.9999999999999999
valid,13,pocket,18,220,0.47614069099217615
valid,14,quarter,26,254,0.862410455092332
valid,15,tag,0,8,
valid,16,zipper,3,60,0.0
test,0,bottom-0LAX,0,0,
test,1,background,0,6,
test,2,band,6,11,0.7685643564356436
test,3,beltloop,0,5,
test,4,button,0,3,
test,5,cuffs,0,0,
test,6,decoration,4,13,0.4843234323432342
test,7,hem,10,13,0.77997799779978
test,8,hook,0,1,
test,9,lace,0,6,
test,10,logo,3,25,0.8341584158415841
test,11,loop,0,3,
test,12,placket,0,0,
test,13,pocket,5,73,0.2739273927392739
test,14,quarter,5,24,1.0
test,15,tag,0,2,
test,16,zipper,1,21,0.0
