epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5686,1.39955,3.22917,3.0156,1.40816,0,0.82978,0.21498,0.2425,0.15794,0.80672,0.18164,0.20222,0.12475,1.17996,2.56532,2.37197,1.31252,0,0.000155429,0.000155429,0.000155429
2,19.9977,1.14244,2.35092,1.61453,1.19223,0,0.68169,0.3314,0.30127,0.19662,0.6706,0.28033,0.27165,0.16399,1.22463,2.24399,2.33059,1.34784,0,0.000310986,0.000310986,0.000310986
3,24.3084,1.06878,2.11493,1.39521,1.15372,0,0.69342,0.34081,0.3726,0.24974,0.67932,0.31422,0.34539,0.19812,1.12715,2.09324,1.91952,1.31204,0,0.000463401,0.000463401,0.000463401
4,28.385,1.06014,2.05447,1.29558,1.13852,0,0.7179,0.3577,0.36727,0.2371,0.82793,0.27939,0.33584,0.18749,1.16992,2.18006,1.68479,1.27732,0,0.000461863,0.000461863,0.000461863
5,32.3334,1.05311,1.93993,1.15965,1.13907,0,0.90031,0.33622,0.43455,0.30016,0.87414,0.31566,0.39634,0.25748,1.03051,1.90531,1.48299,1.13709,0,0.00045715,0.00045715,0.00045715
6,36.5064,1.03607,1.79459,1.0813,1.11344,0,0.64585,0.52562,0.52875,0.35792,0.62298,0.4958,0.49871,0.35227,1.03481,2.05303,1.31212,1.19164,0,0.000452438,0.000452438,0.000452438
7,40.5741,0.99327,1.77197,1.02931,1.09421,0,0.85809,0.53604,0.5488,0.35191,0.81859,0.49205,0.48964,0.29152,1.02081,1.88227,1.17464,1.16541,0,0.000447726,0.000447726,0.000447726
8,44.4865,0.95366,1.68783,0.94803,1.0695,0,0.8209,0.53516,0.54999,0.34654,0.80121,0.51283,0.5063,0.32041,1.04656,1.79044,1.23027,1.15415,0,0.000443013,0.000443013,0.000443013
9,48.4808,0.94209,1.71425,0.92945,1.0577,0,0.85767,0.51766,0.55129,0.35645,0.84203,0.49688,0.53002,0.39513,1.02948,1.79557,1.26472,1.15917,0,0.000438301,0.000438301,0.000438301
10,52.6164,0.92361,1.61679,0.88207,1.0364,0,0.85514,0.48648,0.55074,0.34965,0.84138,0.47358,0.51763,0.38497,0.99075,1.7779,1.25769,1.15518,0,0.000433588,0.000433588,0.000433588
11,56.5298,0.88973,1.56404,0.8709,1.03947,0,0.67876,0.55977,0.62203,0.38567,0.65487,0.52661,0.57609,0.36249,0.98075,1.60997,1.19961,1.13774,0,0.000428876,0.000428876,0.000428876
12,60.4477,0.85045,1.44752,0.81819,1.03655,0,0.87894,0.44507,0.54231,0.38876,0.85979,0.41986,0.51111,0.30706,0.91605,1.75778,1.1143,1.09243,0,0.000424164,0.000424164,0.000424164
13,64.322,0.86918,1.52924,0.79694,1.00946,0,0.8596,0.4374,0.56121,0.38836,0.83421,0.40354,0.51935,0.34432,0.9192,1.69798,1.17358,1.09742,0,0.000419451,0.000419451,0.000419451
14,68.1582,0.85924,1.45483,0.8127,1.01049,0,0.6802,0.52721,0.60983,0.43376,0.61614,0.40913,0.48162,0.34635,0.93154,1.80892,1.18289,1.11207,0,0.000414739,0.000414739,0.000414739
15,72.1545,0.8723,1.46764,0.79258,1.02681,0,0.65534,0.58176,0.55452,0.38096,0.62945,0.54811,0.51141,0.38575,0.94607,1.73849,1.23371,1.1183,0,0.000410026,0.000410026,0.000410026
16,76.0404,0.8716,1.44333,0.7677,1.01005,0,0.64011,0.61949,0.61672,0.39407,0.62623,0.59462,0.57961,0.42539,0.97981,1.85312,1.20482,1.12483,0,0.000405314,0.000405314,0.000405314
17,80.0758,0.82237,1.4259,0.75844,1.01078,0,0.67358,0.56569,0.61197,0.40571,0.66171,0.53432,0.58287,0.41629,0.8596,1.80388,1.12917,1.03967,0,0.000400602,0.000400602,0.000400602
18,84.2522,0.83738,1.40301,0.73644,0.99207,0,0.88927,0.52354,0.61731,0.41386,0.86763,0.50453,0.57991,0.43405,0.82723,1.7244,1.05205,1.03581,0,0.000395889,0.000395889,0.000395889
19,88.2851,0.85836,1.47582,0.7643,1.01476,0,0.84424,0.52056,0.61904,0.4214,0.82563,0.49165,0.57744,0.44371,0.85057,1.75205,1.00928,1.05031,0,0.000391177,0.000391177,0.000391177
20,92.3455,0.7705,1.30426,0.68324,0.98768,0,0.75524,0.63988,0.62401,0.45025,0.7181,0.59687,0.57372,0.35432,0.877,1.65958,0.99299,1.0793,0,0.000386464,0.000386464,0.000386464
21,96.3073,0.80207,1.36939,0.69662,1.0012,0,0.61837,0.56189,0.62876,0.44099,0.58985,0.51485,0.57274,0.37992,0.86696,1.6555,1.01635,1.07118,0,0.000381752,0.000381752,0.000381752
22,100.231,0.77911,1.35944,0.67476,0.97626,0,0.88175,0.45144,0.51754,0.3742,0.85704,0.42759,0.42959,0.28978,0.86816,1.66929,0.9834,1.07408,0,0.00037704,0.00037704,0.00037704
23,104.141,0.76891,1.30277,0.66475,0.95988,0,0.67681,0.56061,0.51637,0.36224,0.73087,0.44317,0.44307,0.29349,0.86955,1.83589,1.04897,1.07073,0,0.000372327,0.000372327,0.000372327
24,108.024,0.77176,1.29132,0.66719,0.96739,0,0.60752,0.56525,0.64034,0.45758,0.58581,0.53543,0.52477,0.37702,0.89849,1.82336,0.99588,1.07221,0,0.000367615,0.000367615,0.000367615
25,111.932,0.77015,1.25213,0.65575,0.96632,0,0.87539,0.52501,0.63642,0.45008,0.85032,0.50303,0.60286,0.35889,0.88416,1.7265,1.00782,1.06441,0,0.000362902,0.000362902,0.000362902
26,115.921,0.75374,1.28087,0.65241,0.9735,0,0.84356,0.53889,0.64162,0.45426,0.82475,0.51866,0.61056,0.3832,0.89051,1.58662,0.99908,1.05969,0,0.00035819,0.00035819,0.00035819
